ref_area,indicator,source,sex,classif1,time,obs_value
ALB,SDG_0111_SEX_AGE_RT,XA:2137,SEX_M,AGE_YTHADULT_Y15-24,2016,0.23
ALB,SDG_0111_SEX_AGE_RT,XA:2137,SEX_M,AGE_YTHADULT_YGE25,2016,0.09
ALB,SDG_0111_SEX_AGE_RT,XA:2137,SEX_F,AGE_YTHADULT_YGE15,2016,0.14
ALB,SDG_0111_SEX_AGE_RT,XA:2137,SEX_F,AGE_YTHADULT_Y15-24,2016,0.61
ALB,SDG_0111_SEX_AGE_RT,XA:2137,SEX_F,AGE_YTHADULT_YGE25,2016,0.1
ALB,SDG_0111_SEX_AGE_RT,XA:2137,SEX_T,AGE_YTHADULT_YGE15,2015,0.07
ALB,SDG_0111_SEX_AGE_RT,XA:2137,SEX_T,AGE_YTHADULT_Y15-24,2015,0.22
ALB,SDG_0111_SEX_AGE_RT,XA:2137,SEX_T,AGE_YTHADULT_YGE25,2015,0.06
ALB,SDG_0111_SEX_AGE_RT,XA:2137,SEX_M,AGE_YTHADULT_YGE15,2015,0.06
ALB,SDG_0111_SEX_AGE_RT,XA:2137,SEX_M,AGE_YTHADULT_Y15-24,2015,0.14
ALB,SDG_0111_SEX_AGE_RT,XA:2137,SEX_M,AGE_YTHADULT_YGE25,2015,0.05
ALB,SDG_0111_SEX_AGE_RT,XA:2137,SEX_F,AGE_YTHADULT_YGE15,2015,0.09
ALB,SDG_0111_SEX_AGE_RT,XA:2137,SEX_F,AGE_YTHADULT_Y15-24,2015,0.36
ALB,SDG_0111_SEX_AGE_RT,XA:2137,SEX_F,AGE_YTHADULT_YGE25,2015,0.06
ALB,SDG_0111_SEX_AGE_RT,XA:2137,SEX_T,AGE_YTHADULT_YGE15,2014,0.47
ALB,SDG_0111_SEX_AGE_RT,XA:2137,SEX_T,AGE_YTHADULT_Y15-24,2014,1.41
ALB,SDG_0111_SEX_AGE_RT,XA:2137,SEX_T,AGE_YTHADULT_YGE25,2014,0.38
ALB,SDG_0111_SEX_AGE_RT,XA:2137,SEX_M,AGE_YTHADULT_YGE15,2014,0.38
ALB,SDG_0111_SEX_AGE_RT,XA:2137,SEX_M,AGE_YTHADULT_Y15-24,2014,0.89
ALB,SDG_0111_SEX_AGE_RT,XA:2137,SEX_M,AGE_YTHADULT_YGE25,2014,0.33
ALB,SDG_0111_SEX_AGE_RT,XA:2137,SEX_F,AGE_YTHADULT_YGE15,2014,0.58
ALB,SDG_0111_SEX_AGE_RT,XA:2137,SEX_F,AGE_YTHADULT_Y15-24,2014,2.22
ALB,SDG_0111_SEX_AGE_RT,XA:2137,SEX_F,AGE_YTHADULT_YGE25,2014,0.44
ALB,SDG_0111_SEX_AGE_RT,XA:2137,SEX_T,AGE_YTHADULT_YGE15,2013,0.36
